Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,nail stickers,Organic,Prime,2177.02,132.81,5.99,13.0,10764.74,212262.89,2.99,25.78,962.79
Price,nail stickers,Organic,Prime,7.09,6.98,6.99,119.0,2.15,32.99,2.9,5.99,7.99
Rating,nail stickers,Organic,Prime,4.08,4.3,5.0,92.0,1.0,5.0,0.0,3.9,4.6
Reviews Count,nail stickers,Organic,Prime,266.7,20.0,1.0,67.0,1246.19,23611.0,1.0,4.0,140.5
Amount Discounted,nail stickers,Organic,Prime,1.33,1.0,1.0,26.0,1.06,5.0,0.3,0.63,1.6
Percent Discounted,nail stickers,Organic,Prime,0.17,0.13,0.13,10.0,0.11,0.5,0.05,0.1,0.2
Revenue,nail stickers,Paid,All,139.49,72.76,5.99,1.0,210.98,639.36,5.99,18.72,136.68
Price,nail stickers,Paid,All,7.22,6.79,5.99,2.0,1.54,9.99,5.73,5.99,7.86
Rating,nail stickers,Paid,All,4.14,4.55,5.0,2.0,1.05,5.0,1.9,3.85,4.78
Reviews Count,nail stickers,Paid,All,16.25,9.0,1.0,1.0,21.06,64.0,1.0,2.75,19.0
Amount Discounted,nail stickers,Paid,All,2.0,2.0,1.0,1.0,1.41,3.0,1.0,1.5,2.5
Percent Discounted,nail stickers,Paid,All,0.22,0.22,0.14,1.0,0.11,0.3,0.14,0.18,0.26
Revenue,nail stickers,Paid,Best Seller,,,,,,,,,
Price,nail stickers,Paid,Best Seller,,,,,,,,,
Rating,nail stickers,Paid,Best Seller,,,,,,,,,
Reviews Count,nail stickers,Paid,Best Seller,,,,,,,,,
Amount Discounted,nail stickers,Paid,Best Seller,,,,,,,,,
Percent Discounted,nail stickers,Paid,Best Seller,,,,,,,,,
Revenue,nail stickers,Paid,Past Month Sales Volume,,,,,,,,,
Price,nail stickers,Paid,Past Month Sales Volume,,,,,,,,,
Rating,nail stickers,Paid,Past Month Sales Volume,,,,,,,,,
Reviews Count,nail stickers,Paid,Past Month Sales Volume,,,,,,,,,
Amount Discounted,nail stickers,Paid,Past Month Sales Volume,,,,,,,,,
Percent Discounted,nail stickers,Paid,Past Month Sales Volume,,,,,,,,,
Revenue,nail stickers,Paid,Prime,139.49,72.76,5.99,1.0,210.98,639.36,5.99,18.72,136.68
Price,nail stickers,Paid,Prime,7.22,6.79,5.99,2.0,1.54,9.99,5.73,5.99,7.86
Rating,nail stickers,Paid,Prime,4.14,4.55,5.0,2.0,1.05,5.0,1.9,3.85,4.78
Reviews Count,nail stickers,Paid,Prime,16.25,9.0,1.0,1.0,21.06,64.0,1.0,2.75,19.0
Amount Discounted,nail stickers,Paid,Prime,2.0,2.0,1.0,1.0,1.41,3.0,1.0,1.5,2.5
Percent Discounted,nail stickers,Paid,Prime,0.22,0.22,0.14,1.0,0.11,0.3,0.14,0.18,0.26
