Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,sterling silver,Organic,Best Seller,129567.2,27522.44,5047.79,5.0,186722.27,870240.0,711.11,13838.4,177889.76
Price,sterling silver,Organic,Best Seller,14.8,13.95,9.99,7.0,7.88,56.0,4.1,9.99,15.98
Rating,sterling silver,Organic,Best Seller,4.35,4.4,4.4,28.0,0.19,4.7,3.7,4.3,4.5
Reviews Count,sterling silver,Organic,Best Seller,8399.66,2709.5,421.0,6.0,11058.98,47303.0,89.0,713.0,12268.0
Amount Discounted,sterling silver,Organic,Best Seller,3.18,2.0,2.0,5.0,3.04,14.0,0.56,1.8,3.63
Percent Discounted,sterling silver,Organic,Best Seller,0.19,0.17,0.17,2.0,0.11,0.53,0.06,0.12,0.23
Revenue,sterling silver,Organic,Past Month Sales Volume,41185.34,12365.99,2687.31,10.0,77803.59,870240.0,6.98,2603.0,43318.2
Price,sterling silver,Organic,Past Month Sales Volume,17.26,13.99,13.99,320.0,12.44,168.0,0.7,11.99,17.99
Rating,sterling silver,Organic,Past Month Sales Volume,4.38,4.4,4.5,727.0,0.31,5.0,0.0,4.3,4.5
Reviews Count,sterling silver,Organic,Past Month Sales Volume,2510.18,778.0,4.0,13.0,4643.57,47303.0,1.0,183.0,2683.0
Amount Discounted,sterling silver,Organic,Past Month Sales Volume,3.67,2.0,1.0,96.0,6.26,57.35,0.5,1.0,4.0
Percent Discounted,sterling silver,Organic,Past Month Sales Volume,0.18,0.14,0.07,22.0,0.13,0.96,0.05,0.08,0.23
Revenue,sterling silver,Organic,Prime,17556.62,2901.58,19.98,22.0,45703.0,870240.0,2.99,558.0,13771.01
Price,sterling silver,Organic,Prime,29.08,16.99,9.99,976.0,41.82,1450.0,2.99,12.99,29.99
Rating,sterling silver,Organic,Prime,4.29,4.4,4.5,2370.0,0.62,5.0,0.0,4.2,4.5
Reviews Count,sterling silver,Organic,Prime,971.21,138.0,1.0,358.0,2687.87,47303.0,1.0,26.0,701.0
Amount Discounted,sterling silver,Organic,Prime,5.0,2.54,1.0,275.0,8.95,145.01,0.5,1.0,5.0
Percent Discounted,sterling silver,Organic,Prime,0.2,0.15,0.07,52.0,0.14,0.74,0.05,0.08,0.25
Revenue,sterling silver,Paid,All,18360.38,1807.0,769.89,8.0,74301.88,1157576.0,7.98,282.36,8624.36
Price,sterling silver,Paid,All,47.4,22.99,14.99,31.0,124.41,2149.0,3.69,14.96,40.0
Rating,sterling silver,Paid,All,4.12,4.4,4.5,125.0,1.11,5.0,0.0,4.2,4.6
Reviews Count,sterling silver,Paid,All,857.79,59.0,1.0,33.0,3882.19,45861.0,1.0,10.0,337.0
Amount Discounted,sterling silver,Paid,All,3.14,2.05,1.0,16.0,3.12,20.0,0.6,1.0,3.9
Percent Discounted,sterling silver,Paid,All,0.15,0.12,0.08,4.0,0.09,0.5,0.05,0.08,0.2
Revenue,sterling silver,Paid,Best Seller,40252.05,29387.22,749.73,1.0,45909.3,90619.2,749.73,15068.48,60003.21
Price,sterling silver,Paid,Best Seller,9.39,8.99,7.99,1.0,1.64,11.19,7.99,8.49,10.09
Rating,sterling silver,Paid,Best Seller,4.53,4.6,4.3,1.0,0.21,4.7,4.3,4.45,4.65
Reviews Count,sterling silver,Paid,Best Seller,4608.33,3678.0,67.0,1.0,5070.92,10080.0,67.0,1872.5,6879.0
Amount Discounted,sterling silver,Paid,Best Seller,2.8,2.8,2.8,1.0,,2.8,2.8,2.8,2.8
Percent Discounted,sterling silver,Paid,Best Seller,0.2,0.2,0.2,1.0,,0.2,0.2,0.2,0.2
Revenue,sterling silver,Paid,Past Month Sales Volume,39783.1,4739.21,12.99,2.0,118370.63,733317.39,12.99,1320.9,27649.06
Price,sterling silver,Paid,Past Month Sales Volume,21.87,13.99,9.99,13.0,22.68,129.99,3.69,11.44,19.99
Rating,sterling silver,Paid,Past Month Sales Volume,4.39,4.4,4.4,36.0,0.44,5.0,0.0,4.3,4.55
Reviews Count,sterling silver,Paid,Past Month Sales Volume,2422.11,302.0,16.0,3.0,7999.75,45861.0,1.0,76.5,1278.5
Amount Discounted,sterling silver,Paid,Past Month Sales Volume,2.17,1.23,1.0,11.0,2.08,10.0,0.92,1.0,2.08
Percent Discounted,sterling silver,Paid,Past Month Sales Volume,0.13,0.11,0.08,3.0,0.09,0.38,0.05,0.07,0.17
Revenue,sterling silver,Paid,Prime,20855.36,2199.6,769.89,8.0,79470.81,1157576.0,7.98,391.39,11057.0
Price,sterling silver,Paid,Prime,38.98,22.99,14.99,31.0,81.34,1699.0,4.99,13.99,39.99
Rating,sterling silver,Paid,Prime,4.24,4.4,4.5,120.0,0.9,5.0,0.0,4.2,4.6
Reviews Count,sterling silver,Paid,Prime,978.15,80.0,1.0,22.0,4153.92,45861.0,1.0,13.5,477.0
