Title,Category ID,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Price,11968951,violin,Paid,Prime,93.45,86.99,39.92,1,52.98,159.89,39.92,57.97,122.46
Rating,11968951,violin,Paid,Prime,4.3,4.2,4.1,2,0.28,4.7,4.1,4.1,4.4
Reviews Count,11968951,violin,Paid,Prime,5620.0,2999.5,25.0,1,7658.35,16456.0,25.0,307.75,8311.75
Amount Discounted,11968951,violin,Paid,Prime,35.36,26.0,10.07,1,31.04,70.0,10.07,18.03,48.0
Percent Discounted,11968951,violin,Paid,Prime,0.26,0.29,0.2,1,0.06,0.3,0.2,0.25,0.3
Revenue,11968991,violin,Organic,All,2400.54,307.86,29.99,3,6655.61,51169.23,3.99,96.09,1378.96
Price,11968991,violin,Organic,All,17.41,15.98,9.99,6,13.79,87.99,0.0,7.99,21.99
Rating,11968991,violin,Organic,All,3.79,4.5,5.0,25,1.7,5.0,0.0,3.92,4.78
Reviews Count,11968991,violin,Organic,All,241.68,13.5,1.0,17,1011.67,9714.0,0.0,3.0,93.5
Amount Discounted,11968991,violin,Organic,All,3.75,2.0,2.0,3,5.51,25.51,0.9,1.07,3.24
Percent Discounted,11968991,violin,Organic,All,0.19,0.12,0.06,1,0.14,0.5,0.06,0.09,0.26
Revenue,11968991,violin,Organic,Best Seller,38758.86,38758.86,38758.86,1,,38758.86,38758.86,38758.86,38758.86
Price,11968991,violin,Organic,Best Seller,3.99,3.99,3.99,1,,3.99,3.99,3.99,3.99
Rating,11968991,violin,Organic,Best Seller,4.7,4.7,4.7,1,,4.7,4.7,4.7,4.7
Reviews Count,11968991,violin,Organic,Best Seller,9714.0,9714.0,9714.0,1,,9714.0,9714.0,9714.0,9714.0
Amount Discounted,11968991,violin,Organic,Best Seller,2.01,2.01,2.01,1,,2.01,2.01,2.01,2.01
Percent Discounted,11968991,violin,Organic,Best Seller,0.33,0.33,0.33,1,,0.33,0.33,0.33,0.33
Revenue,11968991,violin,Organic,Past Month Sales Volume,12163.77,6110.1,98.9,1,14115.98,51169.23,98.9,2654.15,15612.4
Price,11968991,violin,Organic,Past Month Sales Volume,11.72,9.94,5.99,2,6.7,22.0,2.99,5.99,17.77
