Title,Keyword,Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Percentage Discounted,lapis lazuli,Organic,0.2,0.14,0.13,5,0.14,0.78,0.05,0.1,0.28
Revenue,lapis lazuli,Paid,7061.5,1187.01,1885.64,3,16966.61,128952.32,9.98,247.48,4375.75
Prices,lapis lazuli,Paid,35.77,13.49,9.99,18,81.2,884.99,4.99,8.99,26.7
Rating,lapis lazuli,Paid,4.11,4.5,4.5,35,1.23,5.0,0.0,4.3,4.6
Reviews Count,lapis lazuli,Paid,542.79,76.0,1.0,10,1284.36,7168.0,1.0,12.5,281.0
Best Sellers Revenue,lapis lazuli,Paid,17584.65,17584.65,17584.65,1,,17584.65,17584.65,17584.65,17584.65
Best Sellers Prices,lapis lazuli,Paid,16.99,16.99,16.99,1,,16.99,16.99,16.99,16.99
Past Month Sales Revenue,lapis lazuli,Paid,12527.97,3967.83,69.95,1,20096.66,78455.92,69.95,369.38,16383.91
Past Month Sales Prices,lapis lazuli,Paid,12.25,11.99,13.99,4,6.26,26.9,4.99,7.16,14.24
Prime Revenue,lapis lazuli,Paid,7584.14,1208.07,2336.1,3,17496.71,128952.32,9.98,297.0,5488.14
